             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          28093813 interacti fastx_se ckirezci  R 1-22:05:32      1 spartan-bm083
          28141116 interacti sys/dash ibeasley  R    2:14:12      1 spartan-bm083
          28112217 interacti sys/dash mlbramha  R 1-04:25:48      1 spartan-bm083
          28142573 interacti     bash yiyizhon  R      43:20      1 spartan-bm083
          28142225 interacti sys/dash taidhgin  R    1:06:57      1 spartan-bm083
          28141552 interacti     bash     pcox  R    1:52:48      1 spartan-bm083
          28136994 interacti sys/dash fhiskens  R    5:54:26      1 spartan-bm083
          28112531 interacti sys/dash  jonesm3  R 1-04:00:43      1 spartan-bm083
          28137943 interacti sys/dash jvillanu  R    4:42:13      1 spartan-bm083
          28094574 longgpgpu  Q5F_0_2   sitong  R 1-20:50:49      1 spartan-gpgpu070
          28094565 longgpgpu    Q5F_3   sitong  R 1-20:54:08      1 spartan-gpgpu070
          28094564 longgpgpu    Q5F_2   sitong  R 1-20:54:50      1 spartan-gpgpu070
          28094533 longgpgpu    Q5F_1   sitong  R 1-20:55:08      1 spartan-gpgpu070
          28140749       mig     bash   lecook  R    2:34:17      1 spartan-bm068
          28140281       mig     bash   lecook  R    3:04:53      1 spartan-bm067
          28142312       mig     bash dvespasi  R    1:03:56      1 spartan-bm067
          28137067       mig     bash dvespasi  R    5:51:56      1 spartan-bm067
        28138112_6     msps2 analyses  wturner  R    4:24:48      1 spartan-bm048
        28138112_1     msps2 analyses  wturner  R    4:25:10      1 spartan-bm047
        28138112_2     msps2 analyses  wturner  R    4:25:10      1 spartan-bm047
        28138112_3     msps2 analyses  wturner  R    4:25:10      1 spartan-bm047
        28138112_4     msps2 analyses  wturner  R    4:25:10      1 spartan-bm047
        28138112_5     msps2 analyses  wturner  R    4:25:10      1 spartan-bm048
          27370720  physical  200_100 zshireen PD       0:00      3 (MaxCpuPerAccount)
          27370721  physical  200_100 zshireen PD       0:00      3 (MaxCpuPerAccount)
          27370789  physical  200_100 zshireen PD       0:00      3 (MaxCpuPerAccount)
          27370794  physical  200_100 zshireen PD       0:00      3 (MaxCpuPerAccount)
          27370826  physical  200_100 zshireen PD       0:00      3 (MaxCpuPerAccount)
          27370831  physical  200_100 zshireen PD       0:00      3 (MaxCpuPerAccount)
          27370827  physical  200_100 zshireen PD       0:00      3 (MaxCpuPerAccount)
          28143097  physical C_forste   e33570 PD       0:00      1 (Resources)
          28029894  physical     ship     chin PD       0:00     16 (Resources)
          28093525  physical    mafft  amritav PD       0:00      1 (Priority)
          28067832  physical     test      fff PD       0:00      1 (Priority)
          28067830  physical     test      fff PD       0:00      1 (Priority)
          28067829  physical     test      fff PD       0:00      1 (Priority)
          28067828  physical     test      fff PD       0:00      1 (Priority)
          28141564  physical   C1.job  brydons PD       0:00      1 (Priority)
          28141565  physical   C2.job  brydons PD       0:00      1 (Priority)
          28141570  physical Br_Irani  brydons PD       0:00      1 (Priority)
          28141572  physical 1-dodece  brydons PD       0:00      1 (Priority)
          28141577  physical Br_TS.jo  brydons PD       0:00      1 (Priority)
          28142391  physical 1-nonene  brydons PD       0:00      1 (Priority)
          28142389  physical 1-decene  brydons PD       0:00      1 (Priority)
          28050451  physical  sl-27-4  gmooney PD       0:00      1 (Priority)
          28143028  physical     bash    qssha PD       0:00      1 (Priority)
        28110530_4  physical aLLc10_1 hyungwoo PD       0:00      1 (Priority)
          28136624  physical     meep akinoglg PD       0:00      1 (Priority)
          28136623  physical     meep akinoglg PD       0:00      1 (Priority)
          28136622  physical     meep akinoglg PD       0:00      1 (Priority)
          28136620  physical     meep akinoglg PD       0:00      1 (Priority)
          28142397  physical BILIN_SI tphilsun PD       0:00      1 (Priority)
          28142437  physical BILIN_SI tphilsun PD       0:00      1 (Priority)
          28136929  physical batch_si  ckenyon PD       0:00      1 (Priority)
          28138938  physical bDPAtrim paulomig PD       0:00      1 (Priority)
          28139113  physical bDPAtrim paulomig PD       0:00      1 (Priority)
          28139408  physical NiNap_Op paulomig PD       0:00      1 (Priority)
          28112204  physical SPAdes_t    tzare PD       0:00      1 (Priority)
          28136167  physical N34_Delt crawford PD       0:00      1 (Priority)
       28114961_10  physical tri_nc_1 chrisbra PD       0:00      1 (Priority)
        28114961_9  physical tri_nc_1 chrisbra PD       0:00      1 (Priority)
 28142628_[24-500]  physical tsp-opt- carstenm PD       0:00      1 (Priority)
       28121777_10  physical squ_nl_3 chrisbra PD       0:00      1 (Priority)
        28121777_9  physical squ_nl_3 chrisbra PD       0:00      1 (Priority)
        28121777_8  physical squ_nl_3 chrisbra PD       0:00      1 (Priority)
        28121777_7  physical squ_nl_3 chrisbra PD       0:00      1 (Priority)
        28121777_6  physical squ_nl_3 chrisbra PD       0:00      1 (Priority)
        28121777_5  physical squ_nl_3 chrisbra PD       0:00      1 (Priority)
        28121777_4  physical squ_nl_3 chrisbra PD       0:00      1 (Priority)
        28121777_3  physical squ_nl_3 chrisbra PD       0:00      1 (Priority)
        28121777_2  physical squ_nl_3 chrisbra PD       0:00      1 (Priority)
        28121777_1  physical squ_nl_3 chrisbra PD       0:00      1 (Priority)
          28117578  physical repenric lucashof PD       0:00      1 (Priority)
          28117577  physical repenric lucashof PD       0:00      1 (Priority)
          28117572  physical repenric lucashof PD       0:00      1 (Priority)
          28117571  physical repenric lucashof PD       0:00      1 (Priority)
          28117570  physical repenric lucashof PD       0:00      1 (Priority)
          28117569  physical repenric lucashof PD       0:00      1 (Priority)
